WY,Date,Q_mean
1913,5/3/1913,4260
1913,5/4/1913,4080
1913,5/5/1913,3910
1913,5/6/1913,5870
1913,5/7/1913,4080
1913,5/8/1913,3410
1913,5/9/1913,3580
1913,5/10/1913,4080
1913,5/11/1913,3740
1913,5/12/1913,3580
1913,5/13/1913,3410
1913,5/14/1913,3740
1913,5/15/1913,3410
1913,5/16/1913,3250
1913,5/17/1913,3580
1913,5/18/1913,3410
1913,5/19/1913,5500
1913,5/20/1913,6620
1913,5/21/1913,6620
1913,5/22/1913,3910
1913,5/23/1913,4260
1913,5/24/1913,14200
1913,5/25/1913,31500
1913,5/26/1913,49300
1913,5/27/1913,40600
1913,5/28/1913,13000
1913,5/29/1913,17900
1913,5/30/1913,23600
1913,5/31/1913,13000
1913,6/1/1913,9060
1913,6/2/1913,7400
1913,6/3/1913,7010
1913,6/4/1913,7010
1913,6/5/1913,6620
1913,6/6/1913,5140
1913,6/7/1913,4780
1913,6/8/1913,5320
1913,6/9/1913,9960
1913,6/10/1913,9960
1913,6/11/1913,7400
1913,6/12/1913,4960
1913,6/13/1913,6620
1913,6/14/1913,8210
1913,6/15/1913,6620
1913,6/16/1913,5870
1913,6/17/1913,4080
1913,6/18/1913,4600
1913,6/19/1913,3740
1913,6/20/1913,3580
1913,6/21/1913,3580
1913,6/22/1913,3410
1913,6/23/1913,4430
1913,6/24/1913,9060
1913,6/25/1913,13000
1913,6/26/1913,7800
1913,6/27/1913,8630
1913,6/28/1913,9060
1913,6/29/1913,10400
1913,6/30/1913,9500
1913,7/1/1913,10400
1913,7/2/1913,9060
1913,7/3/1913,9500
1913,7/4/1913,4260
1913,7/5/1913,4780
1913,7/6/1913,18500
1913,7/7/1913,12500
1913,7/8/1913,7400
1913,7/9/1913,5500
1913,7/10/1913,3740
1913,7/11/1913,3410
1913,7/12/1913,3090
1913,7/13/1913,8210
1913,7/14/1913,5870
1913,7/15/1913,4430
1913,7/16/1913,4600
1913,7/17/1913,3250
1913,7/18/1913,3090
1913,7/19/1913,3090
1913,7/20/1913,3090
1913,7/21/1913,3090
1913,7/22/1913,6620
1913,7/23/1913,4600
1913,7/24/1913,3410
1913,7/25/1913,2620
1913,7/26/1913,2460
1913,7/27/1913,2620
1913,7/28/1913,2460
1913,7/29/1913,2160
1913,7/30/1913,2160
1913,7/31/1913,2310
1913,8/1/1913,2310
1913,8/2/1913,2020
1913,8/3/1913,2770
1913,8/4/1913,8210
1913,8/5/1913,10900
1913,8/6/1913,9060
1913,8/7/1913,5870
1913,8/8/1913,3410
1913,8/9/1913,2770
1913,8/10/1913,3250
1913,8/11/1913,3910
1913,8/12/1913,3580
1913,8/13/1913,8210
1913,8/14/1913,8210
1913,8/15/1913,5870
1913,8/16/1913,3910
1913,8/17/1913,3910
1913,8/18/1913,4430
1913,8/19/1913,3250
1913,8/20/1913,2160
1913,8/21/1913,2770
1913,8/22/1913,2620
1913,8/23/1913,3580
1913,8/24/1913,4430
1913,8/25/1913,3580
1913,8/26/1913,3580
1913,8/27/1913,2460
1913,8/28/1913,3250
1913,8/29/1913,2620
1913,8/30/1913,2770
1913,8/31/1913,4260
1913,9/1/1913,5870
1913,9/2/1913,7010
1913,9/3/1913,8630
1913,9/4/1913,11400
1913,9/5/1913,29000
1913,9/6/1913,28200
1913,9/7/1913,13600
1913,9/8/1913,9060
1913,9/9/1913,5140
1913,9/10/1913,3910
1913,9/11/1913,2930
1913,9/12/1913,3250
1913,9/13/1913,2310
1913,9/14/1913,2310
1913,9/15/1913,2460
1913,9/16/1913,1880
1913,9/17/1913,1820
1913,9/18/1913,2310
1913,9/19/1913,2020
1913,9/20/1913,2310
1913,9/21/1913,4780
1913,9/22/1913,3910
1913,9/23/1913,5140
1913,9/24/1913,9960
1913,9/25/1913,6620
1913,9/26/1913,4430
1913,9/27/1913,3090
1913,9/28/1913,2930
1913,9/29/1913,3090
1913,9/30/1913,2460
1914,10/1/1913,2020
1914,10/2/1913,2620
1914,10/3/1913,2160
1914,10/4/1913,2310
1914,10/5/1913,2020
1914,10/6/1913,1930
1914,10/7/1913,1720
1914,10/8/1913,1520
1914,10/9/1913,2160
1914,10/10/1913,3090
1914,10/11/1913,3910
1914,10/12/1913,8630
1914,10/13/1913,7010
1914,10/14/1913,3910
1914,10/15/1913,5500
1914,10/16/1913,3740
1914,10/17/1913,2930
1914,10/18/1913,2770
1914,10/19/1913,3090
1914,10/20/1913,2460
1914,10/21/1913,2770
1914,10/22/1913,16600
1914,10/23/1913,9960
1914,10/24/1913,9060
1914,10/25/1913,9060
1914,10/26/1913,22100
1914,10/27/1913,19900
1914,10/28/1913,16600
1914,10/29/1913,8210
1914,10/30/1913,6240
1914,10/31/1913,5320
1914,11/1/1913,4260
1914,11/2/1913,3580
1914,11/3/1913,3250
1914,11/4/1913,3250
1914,11/5/1913,3410
1914,11/6/1913,3090
1914,11/7/1913,2770
1914,11/8/1913,2930
